Title,Year,Director,Director_Gender,Actor,Actor_Gender
Jujutsu Kaisen 0,2021,Sunghoo Park,M,Megumi Ogata,F
Cats,2019,Tom Hooper,M,Francesca Hayward,F
The NeverEnding Story,1984,Wolfgang Petersen,M,Noah Hathaway,M
Sucker Punch,2011,Zack Snyder,M,Emily Browning,F
The Grinch,2018,Scott Mosier,M,Benedict Cumberbatch,M
Belladonna of Sadness,1973,Eiichi Yamamoto,M,Aiko Nagayama,F
Wish,2023,Chris Buck,M,Ariana DeBose,F
The Mummy Returns,2001,Stephen Sommers,M,Brendan Fraser,M
Hotel Transylvania 2,2015,Genndy Tartakovsky,M,Adam Sandler,M
Ghostbusters II,1989,Ivan Reitman,M,Bill Murray,M
The Santa Clause,1994,John Pasquin,M,Tim Allen,M
Mary Poppins Returns,2018,Rob Marshall,M,Emily Blunt,F
Roald Dahl's Matilda the Musical,2022,Matthew Warchus,M,Alisha Weir,F
A Christmas Carol,2009,Robert Zemeckis,M,Jim Carrey,M
Ruby Sparks,2012,Jonathan Dayton,M,Paul Dano,M
The Old Guard,2020,Gina Prince-Bythewood,F,Charlize Theron,F
Un Chien Andalou,1929,Luis Buñuel,M,Simone Mareuil,F
Bao,2018,Domee Shi,F,Daniel Kailin,M
Casper,1995,Brad Silberling,M,Malachi Pearson,M
Wendell & Wild,2022,Henry Selick,M,Lyric Ross,F
The Watchers,2024,Ishana Night Shyamalan,F,Dakota Fanning,F
The Last Airbender,2010,M. Night Shyamalan,M,Noah Ringer,M
Ghost Rider,2007,Mark Steven Johnson,M,Nicolas Cage,M
Aquamarine,2006,Elizabeth Allen Rosenbaum,F,Emma Roberts,F
Tomb Raider,2018,Roar Uthaug,M,Alicia Vikander,F
Maleficent: Mistress of Evil,2019,Joachim Rønning,M,Angelina Jolie,F
Horton Hears a Who!,2008,Jimmy Hayward,M,Jim Carrey,M
Angel's Egg,1985,Mamoru Oshii,M,Keiichi Noda,M
Trolls,2016,Mike Mitchell,M,Anna Kendrick,F
Krampus,2015,Michael Dougherty,M,Emjay Anthony,M
The Sea Beast,2022,Chris Williams,M,Karl Urban,M
Stranger Than Fiction,2006,Marc Forster,M,Will Ferrell,M
Kung Fu Hustle,2004,Stephen Chow,M,Stephen Chow,M
I Lost My Body,2019,Jérémy Clapin,M,Hakim Faris,M
Dreams,1990,Akira Kurosawa,M,Akira Terao,M
Alice Through the Looking Glass,2016,James Bobin,M,Mia Wasikowska,F
The Book of Life,2014,Jorge R. Gutierrez,M,Diego Luna,M
IF,2024,John Krasinski,M,Cailey Fleming,F
Haunted Mansion,2023,Justin Simien,M,Rosario Dawson,F
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,M,Patricia Arquette,F
Dead Man,1995,Jim Jarmusch,M,Johnny Depp,M
Fanny and Alexander,1982,Ingmar Bergman,M,Pernilla Allwin,F
Blade II,2002,Guillermo del Toro,M,Wesley Snipes,M
James and the Giant Peach,1996,Henry Selick,M,Paul Terry,M
Holy Motors,2012,Leos Carax,M,Denis Lavant,M
Perfume: The Story of a Murderer,2006,Tom Tykwer,M,Ben Whishaw,M
Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,2020,Haruo Sotozaki,M,Natsuki Hanae,M
A Dog's Will,2000,Guel Arraes,M,Matheus Nachtergaele,M
Hellboy II: The Golden Army,2008,Guillermo del Toro,M,Ron Perlman,M
Pleasantville,1998,Gary Ross,M,Tobey Maguire,M
Babe,1995,Chris Noonan,M,Christine Cavanaugh,F
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Michael Apted,M,Georgie Henley,F
The Fall,2006,Tarsem Singh,M,Lee Pace,M
Song of the Sea,2014,Tomm Moore,M,David Rawle,M
Death Note,2017,Adam Wingard,M,Nat Wolff,M
Wolf Children,2012,Mamoru Hosoda,M,Haru Kuroki,F
Home,2015,Tim Johnson,M,Jim Parsons,M
Night at the Museum: Secret of the Tomb,2014,Shawn Levy,M,Ben Stiller,M
Percy Jackson: Sea of Monsters,2013,Thor Freudenthal,M,Logan Lerman,M
Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,M,Thanapat Saisaymar,M
Daredevil,2003,Mark Steven Johnson,M,Ben Affleck,M
Nosferatu,2024,Robert Eggers,M,Bill Skarsgård,M
Disenchanted,2022,Adam Shankman,M,Amy Adams,F
Gremlins 2: The New Batch,1990,Joe Dante,M,Zach Galligan,M
Oz the Great and Powerful,2013,Sam Raimi,M,James Franco,M
Snow White and the Huntsman,2012,Rupert Sanders,M,Kristen Stewart,F
A Monster Calls,2016,J. A. Bayona,M,Lewis MacDougall,M
Strange World,2022,Don Hall,M,Jake Gyllenhaal,M
The Mummy,2017,Alex Kurtzman,M,Tom Cruise,M
King Kong,1933,Merian C. Cooper,M,Robert Armstrong,M
Across the Universe,2007,Julie Taymor,M,Evan Rachel Wood,F
Kwaidan,1964,Masaki Kobayashi,M,Michiyo Aratama,F
King Arthur: Legend of the Sword,2017,Guy Ritchie,M,Charlie Hunnam,M
Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,F,Zachary Levi,M
Pom Poko,1994,Isao Takahata,M,Makoto Nonomura,M
The Smurfs,2011,Raja Gosnell,M,Hank Azaria,M
Meshes of the Afternoon,1943,Maya Deren,F,Maya Deren,F
The Sword in the Stone,1963,Wolfgang Reitherman,M,Sebastian Cabot,M
Waking Life,2001,Richard Linklater,M,Ethan Hawke,M
The Devil's Backbone,2001,Guillermo del Toro,M,Marisa Paredes,F
The Girl Who Leapt Through Time,2006,Mamoru Hosoda,M,Riisa Naka,F
Hotel Transylvania 3: Summer Vacation,2018,Genndy Tartakovsky,M,Adam Sandler,M
The Little Prince,2015,Mark Osborne,M,Riley Osborne,M
Happy as Lazzaro,2018,Alice Rohrwacher,F,Adriano Tardiolo,M
Dumbo,2019,Tim Burton,M,Colin Farrell,M
El Conde,2023,Pablo Larraín,M,Jaime Vadell,M
Trolls Band Together,2023,Walt Dohrn,M,Anna Kendrick,F
Bedtime Stories,2008,Adam Shankman,M,Adam Sandler,M
Dogma,1999,Kevin Smith,M,Ben Affleck,M
Lara Croft: Tomb Raider,2001,Simon West,M,Angelina Jolie,F
Descendants,2015,Kenny Ortega,M,Dove Cameron,F
Colossal,2016,Nacho Vigalondo,M,Anne Hathaway,F
Delicatessen,1991,Jean-Pierre Jeunet,M,Dominique Pinon,M
Bright,2017,David Ayer,M,Will Smith,M
Isn't It Romantic,2019,Todd Strauss-Schulson,M,Rebel Wilson,F
The Dark Crystal,1982,Frank Oz,M,Jim Henson,M
The BFG,2016,Steven Spielberg,M,Mark Rylance,M
Field of Dreams,1989,Phil Alden Robinson,M,Kevin Costner,M
"Night Is Short, Walk on Girl",2017,Masaaki Yuasa,M,Gen Hoshino,M
Heavenly Creatures,1994,Peter Jackson,M,Melanie Lynskey,F
Jupiter Ascending,2015,Lilly Wachowski,F,Channing Tatum,M
Valerie and Her Week of Wonders,1970,Jaromil Jireš,M,Jaroslava Schallerová,F
Peter Pan,2003,P.J. Hogan,M,Jason Isaacs,M
Pacific Rim: Uprising,2018,Steven S. DeKnight,M,John Boyega,M
The Witches of Eastwick,1987,George Miller,M,Jack Nicholson,M
The Red Turtle,2016,Michael Dudok de Wit,M,Tom Hudson,M
New Nightmare,1994,Wes Craven,M,Heather Langenkamp,F
Scrooged,1988,Richard Donner,M,Bill Murray,M
The Illusionist,2006,Neil Burger,M,Edward Norton,M
Knight of Cups,2015,Terrence Malick,M,Christian Bale,M
Ugetsu,1953,Kenji Mizoguchi,M,Machiko Kyō,F
Prince of Persia: The Sands of Time,2010,Mike Newell,M,Jake Gyllenhaal,M
Halloweentown,1998,Duwayne Dunham,M,Debbie Reynolds,F
Nanny McPhee,2005,Kirk Jones,M,Emma Thompson,F
The Hot Chick,2002,Tom Brady,M,Rob Schneider,M
Evan Almighty,2007,Tom Shadyac,M,Steve Carell,M
Last Action Hero,1993,John McTiernan,M,Arnold Schwarzenegger,M
Nimic,2019,Yorgos Lanthimos,M,Matt Dillon,M
The Exterminating Angel,1962,Luis Buñuel,M,Silvia Pinal,F
Vampyr,1932,Carl Theodor Dreyer,M,Nicolas de Gunzburg,M
Just Like Heaven,2005,Mark Waters,M,Reese Witherspoon,F
The Innocents,2021,Eskil Vogt,M,Rakel Lenora Fløttum,F
A Matter of Life and Death,1946,Emeric Pressburger,M,David Niven,M
Clash of the Titans,2010,Louis Leterrier,M,Sam Worthington,M
Family Switch,2023,McG,M,Jennifer Garner,F
Underworld,2003,Len Wiseman,M,Kate Beckinsale,F
The School for Good and Evil,2022,Paul Feig,M,Sofia Wylie,F
Just My Luck,2006,Donald Petrie,M,Lindsay Lohan,F
The Map of Tiny Perfect Things,2021,Ian Samuels,M,Kyle Allen,M
Warcraft,2016,Duncan Jones,F,Travis Fimmel,M
Orlando,1992,Sally Potter,M,Tilda Swinton,F
The Golden Compass,2007,Chris Weitz,M,Nicole Kidman,F
Border,2018,Ali Abbasi,M,Eva Melander,F
After Life,1998,Hirokazu Kore-eda,M,Arata Iura,M
Day Shift,2022,J.J. Perry,M,Jamie Foxx,M
Roald Dahl's The Witches,2020,Robert Zemeckis,M,Anne Hathaway,F
Hellboy,2019,Neil Marshall,M,David Harbour,M
Hellbound: Hellraiser II,1988,Tony Randel,M,Ashley Laurence,F
The Witches,1990,Nicolas Roeg,M,Jasen Fisher,M
"The Boy, the Mole, the Fox and the Horse",2022,Peter Baynton,M,Jude Coward Nicoll,M
The Spirit of the Beehive,1973,Víctor Erice,M,Fernando Fernán Gómez,M
The Night Before,2015,Jonathan Levine,M,Joseph Gordon-Levitt,M
Conan the Barbarian,1982,John Milius,M,Arnold Schwarzenegger,M
Tales from Earthsea,2006,Goro Miyazaki,M,Junichi Okada,M
Mind Game,2004,Masaaki Yuasa,M,Koji Imada,M
Legend,1985,Ridley Scott,M,Tom Cruise,M
Irish Wish,2024,Janeen Damian,F,Lindsay Lohan,F
Time Bandits,1981,Terry Gilliam,M,Craig Warnock,M
Mirror Mirror,2012,Tarsem Singh,M,Lily Collins,F
