Title,Year,Director,Director_Gender,Actor,Actor_Gender
Before Sunset,2004,Richard Linklater,M,Ethan Hawke,M
The Exorcist,1973,William Friedkin,M,Ellen Burstyn,F
Stand by Me,1986,Rob Reiner,M,Wil Wheaton,M
Manchester by the Sea,2016,Kenneth Lonergan,M,Casey Affleck,M
A Star Is Born,2018,Bradley Cooper,M,Lady Gaga,F
The Big Short,2015,Adam McKay,M,Steve Carell,M
Heat,1995,Michael Mann,M,Al Pacino,M
The Imitation Game,2014,Morten Tyldum,M,Benedict Cumberbatch,M
Full Metal Jacket,1987,Stanley Kubrick,M,Matthew Modine,M
Chungking Express,1994,Wong Kar-wai,M,Takeshi Kaneshiro,M
Casablanca,1942,Michael Curtiz,M,Humphrey Bogart,M
The Fabelmans,2022,Steven Spielberg,M,Gabriel LaBelle,M
The Green Mile,1999,Frank Darabont,M,Tom Hanks,M
Memories of Murder,2003,Bong Joon-ho,M,Song Kang-ho,M
Grave of the Fireflies,1988,Isao Takahata,M,Tsutomu Tatsumi,M
Top Gun,1986,Tony Scott,M,Tom Cruise,M
Frances Ha,2012,Noah Baumbach,M,Greta Gerwig,F
Silver Linings Playbook,2012,David O. Russell,M,Bradley Cooper,M
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,M,Frances McDormand,F
Citizen Kane,1941,Orson Welles,M,Orson Welles,M
mid90s,2018,Jonah Hill,M,Sunny Suljic,M
Guillermo del Toro's Pinocchio,2022,Guillermo del Toro,M,Ewan McGregor,M
Ford v Ferrari,2019,James Mangold,M,Matt Damon,M
Green Book,2018,Peter Farrelly,M,Viggo Mortensen,M
Love Actually,2003,Richard Curtis,M,Hugh Grant,M
Leave the World Behind,2023,Sam Esmail,M,Julia Roberts,F
The Queen's Gambit,2020,Scott Frank,M,Anya Taylor-Joy,F
Shiva Baby,2020,Emma Seligman,F,Rachel Sennott,F
Minari,2020,Lee Isaac Chung,M,Steven Yeun,M
Snowpiercer,2013,Bong Joon-ho,M,Chris Evans,M
Children of Men,2006,Alfonso Cuarón,M,Clive Owen,M
Room,2015,Lenny Abrahamson,M,Brie Larson,F
The Curious Case of Benjamin Button,2008,David Fincher,M,Brad Pitt,M
The Green Knight,2021,David Lowery,M,Dev Patel,M
Come and See,1985,Elem Klimov,M,Aleksei Kravchenko,M
The Edge of Seventeen,2016,Kelly Fremon Craig,F,Hailee Steinfeld,F
Bird Box,2018,Susanne Bier,F,Sandra Bullock,F
Phantom Thread,2017,Paul Thomas Anderson,M,Daniel Day-Lewis,M
Carol,2015,Todd Haynes,M,Cate Blanchett,F
Marie Antoinette,2006,Sofia Coppola,F,Kirsten Dunst,F
Gravity,2013,Alfonso Cuarón,M,Sandra Bullock,F
Nomadland,2020,Chloé Zhao,F,Frances McDormand,F
Boyhood,2014,Richard Linklater,M,Ellar Coltrane,M
"Paris, Texas",1984,Wim Wenders,M,Harry Dean Stanton,M
Rise of the Planet of the Apes,2011,Rupert Wyatt,M,Andy Serkis,M
Punch-Drunk Love,2002,Paul Thomas Anderson,M,Adam Sandler,M
Another Round,2020,Thomas Vinterberg,M,Mads Mikkelsen,M
The Greatest Showman,2017,Michael Gracey,M,Hugh Jackman,M
Perfect Days,2023,Wim Wenders,M,Koji Yakusho,M
I'm Thinking of Ending Things,2020,Charlie Kaufman,M,Jesse Plemons,M
Rocky,1976,John G. Avildsen,M,Sylvester Stallone,M
Suspiria,2018,Luca Guadagnino,M,Dakota Johnson,F
American Fiction,2023,Cord Jefferson,M,Jeffrey Wright,M
Squid Game,2021,Hwang Dong-hyuk,M,Lee Jung-jae,M
12 Years a Slave,2013,Steve McQueen,M,Chiwetel Ejiofor,M
Groundhog Day,1993,Harold Ramis,M,Bill Murray,M
The Usual Suspects,1995,Bryan Singer,M,Kevin Spacey,M
Almost Famous,2000,Cameron Crowe,M,Billy Crudup,M
Mr. & Mrs. Smith,2005,Doug Liman,M,Brad Pitt,M
Boogie Nights,1997,Paul Thomas Anderson,M,Mark Wahlberg,M
The Idea of You,2024,Michael Showalter,M,Anne Hathaway,F
Life of Pi,2012,Ang Lee,M,Suraj Sharma,M
Magnolia,1999,Paul Thomas Anderson,M,Tom Cruise,M
Hacksaw Ridge,2016,Mel Gibson,M,Andrew Garfield,M
The Power of the Dog,2021,Jane Campion,F,Benedict Cumberbatch,M
Rosemary's Baby,1968,Roman Polanski,M,Mia Farrow,F
It's a Wonderful Life,1946,Frank Capra,M,James Stewart,M
Dawn of the Planet of the Apes,2014,Matt Reeves,M,Andy Serkis,M
American History X,1998,Tony Kaye,M,Edward Norton,M
Nocturnal Animals,2016,Tom Ford,M,Amy Adams,F
Raging Bull,1980,Martin Scorsese,M,Robert De Niro,M
Roma,2018,Alfonso Cuarón,M,Yalitza Aparicio,F
Casino,1995,Martin Scorsese,M,Robert De Niro,M
Dazed and Confused,1993,Richard Linklater,M,Jason London,M
Napoleon,2023,Ridley Scott,M,Joaquin Phoenix,M
WandaVision,2021,Matt Shakman,M,Elizabeth Olsen,F
Spencer,2021,Pablo Larraín,M,Kristen Stewart,F
Seven Samurai,1954,Akira Kurosawa,M,Toshirō Mifune,M
Being John Malkovich,1999,Spike Jonze,M,John Cusack,M
Atonement,2007,Joe Wright,M,James McAvoy,M
The Darjeeling Limited,2007,Wes Anderson,M,Owen Wilson,M
Persona,1966,Ingmar Bergman,M,Bibi Andersson,F
Eighth Grade,2018,Bo Burnham,M,Elsie Fisher,F
Raw,2016,Julia Ducournau,F,Garance Marillier,F
Drive My Car,2021,Ryūsuke Hamaguchi,M,Hidetoshi Nishijima,M
Titane,2021,Julia Ducournau,F,Vincent Lindon,F
Do the Right Thing,1989,Spike Lee,M,Danny Aiello,M
Rocketman,2019,Dexter Fletcher,M,Taron Egerton,M
Moneyball,2011,Bennett Miller,M,Brad Pitt,M
The Babadook,2014,Jennifer Kent,F,Essie Davis,F
Before Midnight,2013,Richard Linklater,M,Ethan Hawke,M
Air,2023,Ben Affleck,M,Matt Damon,M
War for the Planet of the Apes,2017,Matt Reeves,M,Andy Serkis,M
The Pursuit of Happyness,2006,Gabriele Muccino,M,Will Smith,M
The Secret Life of Walter Mitty,2013,Ben Stiller,M,Ben Stiller,M
Bo Burnham: Inside,2021,Bo Burnham,M,Bo Burnham,M
The Talented Mr. Ripley,1999,Anthony Minghella,M,Matt Damon,M
In Bruges,2008,Martin McDonagh,M,Colin Farrell,M
The Twilight Saga: New Moon,2009,Chris Weitz,M,Kristen Stewart,F
Spotlight,2015,Tom McCarthy,M,Mark Ruffalo,M
The Hunt,2012,Thomas Vinterberg,M,Mads Mikkelsen,M
Jackie Brown,1997,Quentin Tarantino,M,Pam Grier,F
Stalker,1979,Andrei Tarkovsky,M,Aleksandr Kaydanovskiy,M
Dirty Dancing,1987,Emile Ardolino,M,Jennifer Grey,F
Into the Wild,2007,Sean Penn,M,Emile Hirsch,M
Baby Reindeer,2024,Weronika Tofilska,F,Richard Gadd,M
Life Is Beautiful,1997,Roberto Benigni,M,Roberto Benigni,M
World War Z,2013,Marc Forster,M,Brad Pitt,M
West Side Story,2021,Steven Spielberg,M,Ansel Elgort,M
Climax,2018,Gaspar Noé,M,Sofia Boutella,F
House of Gucci,2021,Ridley Scott,M,Lady Gaga,F
The Platform,2019,Galder Gaztelu-Urrutia,M,Ivan Massagué,M
Cinema Paradiso,1988,Giuseppe Tornatore,M,Philippe Noiret,M
Chinatown,1974,Roman Polanski,M,Jack Nicholson,M
Romeo + Juliet,1996,Baz Luhrmann,M,Leonardo DiCaprio,M
The Graduate,1967,Mike Nichols,M,Anne Bancroft,F
Cast Away,2000,Robert Zemeckis,M,Tom Hanks,M
10 Cloverfield Lane,2016,Dan Trachtenberg,M,John Goodman,M
Dallas Buyers Club,2013,Jean-Marc Vallée,M,Matthew McConaughey,M
Slumdog Millionaire,2008,Danny Boyle,M,Dev Patel,M
I Saw the TV Glow,2024,Jane Schoenbrun,F,Justice Smith,M
Okja,2017,Bong Joon-ho,M,Tilda Swinton,F
Rushmore,1998,Wes Anderson,M,Jason Schwartzman,M
Amadeus,1984,Miloš Forman,M,F. Murray Abraham,M
Blue Valentine,2010,Derek Cianfrance,M,Ryan Gosling,M
The Theory of Everything,2014,James Marsh,M,Eddie Redmayne,M
The Proposal,2009,Anne Fletcher,F,Sandra Bullock,F
Normal People,2020,Lenny Abrahamson,M,Daisy Edgar-Jones,F
The Life Aquatic with Steve Zissou,2004,Wes Anderson,M,Bill Murray,M
The Father,2020,Florian Zeller,M,Anthony Hopkins,M
The Master,2012,Paul Thomas Anderson,M,Joaquin Phoenix,M
Thelma & Louise,1991,Ridley Scott,M,Susan Sarandon,F
Maestro,2023,Bradley Cooper,M,Carey Mulligan,F
Big Fish,2003,Tim Burton,M,Ewan McGregor,M
A Ghost Story,2017,David Lowery,M,Casey Affleck,M
Loki,2021,Kate Herron,M,Tom Hiddleston,M
CODA,2021,Siân Heder,F,Emilia Jones,F
Creed,2015,Ryan Coogler,M,Michael B. Jordan,M
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,M,Aaron Paul,M
Dog Day Afternoon,1975,Sidney Lumet,M,Al Pacino,M
Mysterious Skin,2004,Gregg Araki,M,Brady Corbet,M
Breakfast at Tiffany's,1961,Blake Edwards,M,Audrey Hepburn,F
Under the Skin,2013,Jonathan Glazer,M,Scarlett Johansson,F
The Game,1997,David Fincher,M,Michael Douglas,M
We Need to Talk About Kevin,2011,Lynne Ramsay,F,Tilda Swinton,F
A Beautiful Mind,2001,Ron Howard,M,Russell Crowe,M
Nightmare Alley,2021,Guillermo del Toro,M,Bradley Cooper,M
Inside Llewyn Davis,2013,Joel Coen,M,Oscar Isaac,M
I Am Legend,2007,Francis Lawrence,M,Will Smith,M
Me Before You,2016,Thea Sharrock,F,Emilia Clarke,F
