Title,Year,Director,Director_Gender,Actor,Actor_Gender
"Love, Rosie",2014,Christian Ditter,M,Lily Collins,F
Happy Death Day,2017,Christopher Landon,M,Jessica Rothe,F
Porco Rosso,1992,Hayao Miyazaki,M,Shūichirō Moriyama,M
Despicable Me 2,2013,Pierre Coffin,M,Steve Carell,M
Enchanted,2007,Kevin Lima,M,Amy Adams,F
Step Brothers,2008,Adam McKay,M,Will Ferrell,M
Borat Subsequent Moviefilm,2020,Jason Woliner,M,Sacha Baron Cohen,M
Adaptation.,2002,Spike Jonze,M,Nicolas Cage,M
Hunt for the Wilderpeople,2016,Taika Waititi,M,Sam Neill,M
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,M,Will Ferrell,M
Monster House,2006,Gil Kenan,M,Mitchel Musso,M
Click,2006,Frank Coraci,M,Adam Sandler,M
The Simpsons Movie,2007,David Silverman,M,Dan Castellaneta,M
Theater Camp,2023,Molly Gordon,F,Ben Platt,M
Yesterday,2019,Danny Boyle,M,Himesh Patel,M
The SpongeBob SquarePants Movie,2004,Stephen Hillenburg,M,Tom Kenny,M
"Are You There God? It's Me, Margaret.",2023,Kelly Fremon Craig,F,Abby Ryder Fortson,F
The Ballad of Buster Scruggs,2018,Joel Coen,M,Tim Blake Nelson,M
Annie Hall,1977,Woody Allen,M,Woody Allen,M
Submarine,2010,Richard Ayoade,M,Noah Taylor,M
Chicken Run,2000,Nick Park,M,Julia Sawalha,F
Zombieland: Double Tap,2019,Ruben Fleischer,M,Woody Harrelson,M
Totally Killer,2023,Nahnatchka Khan,F,Kiernan Shipka,F
The World's End,2013,Edgar Wright,M,Simon Pegg,M
Chicago,2002,Rob Marshall,M,Renée Zellweger,F
Some Like It Hot,1959,Billy Wilder,M,Tony Curtis,M
Who Framed Roger Rabbit,1988,Robert Zemeckis,M,Bob Hoskins,M
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F
Sonic the Hedgehog,2020,Jeff Fowler,M,Ben Schwartz,M
The Addams Family,1991,Barry Sonnenfeld,M,Raúl Juliá,M
BEEF,2023,Hikari,F,Steven Yeun,M
Over the Garden Wall,2014,Nate Cash,M,Elijah Wood,M
Buffalo '66,1998,Vincent Gallo,M,Vincent Gallo,M
Sausage Party,2016,Conrad Vernon,M,Seth Rogen,M
The Hangover Part II,2011,Todd Phillips,M,Bradley Cooper,M
The Interview,2014,Seth Rogen,M,James Franco,M
Minions,2015,Kyle Balda,M,Sandra Bullock,F
Renfield,2023,Chris McKay,M,Nicholas Hoult,M
Hotel Transylvania,2012,Genndy Tartakovsky,M,Adam Sandler,M
Life of Brian,1979,Terry Jones,M,Graham Chapman,M
Bolt,2008,Chris Williams,M,John Travolta,M
Shrek Forever After,2010,Mike Mitchell,M,Mike Myers,M
A Simple Favor,2018,Paul Feig,M,Anna Kendrick,F
Chef,2014,Jon Favreau,M,Jon Favreau,M
Shark Tale,2004,Vicky Jenson,F,Will Smith,M
Hustle,2022,Jeremiah Zagar,M,Adam Sandler,M
Friends with Benefits,2011,Will Gluck,M,Justin Timberlake,M
Spree,2020,Eugene Kotlyarenko,M,Joe Keery,M
Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,M,Olivia Cooke,F
Jumanji: The Next Level,2019,Jake Kasdan,M,Dwayne Johnson,M
Brazil,1985,Terry Gilliam,M,Jonathan Pryce,M
The Love Witch,2016,Anna Biller,F,Samantha Robinson,F
Space Jam,1996,Joe Pytka,M,Michael Jordan,M
Inherent Vice,2014,Paul Thomas Anderson,M,Joaquin Phoenix,M
See How They Run,2022,Tom George,M,Sam Rockwell,M
Hustlers,2019,Lorene Scafaria,F,Constance Wu,F
Raising Arizona,1987,Joel Coen,M,Nicolas Cage,M
Red Notice,2021,Rawson Marshall Thurber,M,Dwayne Johnson,M
Ghostbusters: Afterlife,2021,Jason Reitman,M,Mckenna Grace,F
High School Musical 2,2007,Kenny Ortega,M,Zac Efron,M
Rush Hour,1998,Brett Ratner,M,Jackie Chan,M
Paterson,2016,Jim Jarmusch,M,Adam Driver,M
Bruce Almighty,2003,Tom Shadyac,M,Jim Carrey,M
Kung Fu Panda 3,2016,Jennifer Yuh Nelson,F,Jack Black,M
Sing,2016,Garth Jennings,M,Matthew McConaughey,M
Mrs. Doubtfire,1993,Chris Columbus,M,Robin Williams,M
The Lost Boys,1987,Joel Schumacher,M,Jason Patric,M
Lars and the Real Girl,2007,Craig Gillespie,M,Ryan Gosling,M
American Pie,1999,Paul Weitz,M,Jason Biggs,M
The Lost City,2022,Adam Nee,M,Sandra Bullock,F
Amsterdam,2022,David O. Russell,M,Christian Bale,M
War Dogs,2016,Todd Phillips,M,Miles Teller,M
Robots,2005,Chris Wedge,M,Ewan McGregor,M
Set It Up,2018,Claire Scanlon,F,Zoey Deutch,F
Cars 3,2017,Brian Fee,M,Owen Wilson,M
Roman Holiday,1953,William Wyler,M,Audrey Hepburn,F
The King's Man,2021,Matthew Vaughn,M,Ralph Fiennes,M
Despicable Me 4,2024,Chris Renaud,M,Steve Carell,M
