Title,Year,Director,Director_Gender,Actor,Actor_Gender
Entergalactic,2022,Fletcher Moules,M,Kid Cudi,M
As Good as It Gets,1997,James L. Brooks,M,Jack Nicholson,M
Am I OK?,2022,Tig Notaro,F,Dakota Johnson,F
Victoria,2015,Sebastian Schipper,M,Laia Costa,F
The Piano,1993,Jane Campion,F,Holly Hunter,F
Holidate,2020,John Whitesell,M,Emma Roberts,F
Bend It Like Beckham,2002,Gurinder Chadha,F,Parminder Nagra,F
No Strings Attached,2011,Ivan Reitman,M,Natalie Portman,F
Maurice,1987,James Ivory,M,James Wilby,M
Revolutionary Road,2008,Sam Mendes,M,Leonardo DiCaprio,M
Cabaret,1972,Bob Fosse,M,Liza Minnelli,F
A Goofy Movie,1995,Kevin Lima,M,Bill Farmer,M
God's Own Country,2017,Francis Lee,M,Josh O'Connor,M
Pretty in Pink,1986,Howard Deutch,M,Molly Ringwald,F
Ruby Sparks,2012,Jonathan Dayton,M,Paul Dano,M
The Phantom of the Opera,2004,Joel Schumacher,M,Gerard Butler,M
The House Bunny,2008,Fred Wolf,M,Anna Faris,F
Gentlemen Prefer Blondes,1953,Howard Hawks,M,Marilyn Monroe,F
Sense and Sensibility,1995,Ang Lee,M,Emma Thompson,F
Garden State,2004,Zach Braff,M,Zach Braff,M
A Rainy Day in New York,2019,Woody Allen,M,Timothée Chalamet,M
Spirit: Stallion of the Cimarron,2002,Kelly Asbury,F,Matt Damon,M
Little Women,1994,Gillian Armstrong,F,Winona Ryder,F
It Happened One Night,1934,Frank Capra,M,Clark Gable,M
Hannah Montana: The Movie,2009,Peter Chelsom,M,Miley Cyrus,F
Camp Rock,2008,Matthew Diamond,M,Demi Lovato,F
Letters to Juliet,2010,Gary Winick,M,Amanda Seyfried,F
Remember Me,2010,Allen Coulter,M,Robert Pattinson,M
Vicky Cristina Barcelona,2008,Woody Allen,M,Scarlett Johansson,F
Hitch,2005,Andy Tennant,M,Will Smith,M
Long Shot,2019,Jonathan Levine,M,Charlize Theron,F
To All the Boys: Always and Forever,2021,Michael Fimognari,M,Lana Condor,F
Aquamarine,2006,Elizabeth Allen Rosenbaum,F,Emma Roberts,F
Up in the Air,2009,Jason Reitman,M,George Clooney,M
Love Exposure,2008,Sion Sono,M,Takahiro Nishijima,M
Kill Your Darlings,2013,John Krokidas,M,Daniel Radcliffe,M
Julie & Julia,2009,Nora Ephron,F,Meryl Streep,F
The Wedding Singer,1998,Frank Coraci,M,Adam Sandler,M
Benedetta,2021,Paul Verhoeven,M,Virginie Efira,F
Ticket to Paradise,2022,Ol Parker,M,Julia Roberts,F
Stranger Than Fiction,2006,Marc Forster,M,Will Ferrell,M
After,2019,Jenny Gage,F,Josephine Langford,F
Meet the Fockers,2004,Jay Roach,M,Ben Stiller,M
Contempt,1963,Jean-Luc Godard,M,Brigitte Bardot,F
John Tucker Must Die,2006,Betty Thomas,F,Jesse Metcalfe,M
Purple Hearts,2022,Elizabeth Allen Rosenbaum,F,Sofia Carson,F
The Last of the Mohicans,1992,Michael Mann,M,Daniel Day-Lewis,M
Monte Carlo,2011,Thomas Bezucha,M,Selena Gomez,F
Scenes from a Marriage,1974,Ingmar Bergman,M,Liv Ullmann,F
Always Be My Maybe,2019,Nahnatchka Khan,F,Ali Wong,F
The Girl Next Door,2004,Luke Greenfield,M,Emile Hirsch,M
Bros,2022,Nicholas Stoller,M,Billy Eichner,M
Lolita,1997,Adrian Lyne,M,Jeremy Irons,M
The Beach,2000,Danny Boyle,M,Leonardo DiCaprio,M
Disobedience,2017,Sebastián Lelio,M,Rachel Weisz,F
Say Anything...,1989,Cameron Crowe,M,John Cusack,M
Mona Lisa Smile,2003,Mike Newell,M,Julia Roberts,F
Imagine Me & You,2005,Ol Parker,M,Piper Perabo,F
Love at First Sight,2023,Vanessa Caswill,F,Haley Lu Richardson,F
Secretary,2002,Steven Shainberg,M,James Spader,M
Don Jon,2013,Joseph Gordon-Levitt,M,Joseph Gordon-Levitt,M
You People,2023,Kenya Barris,M,Jonah Hill,M
Valentine's Day,2010,Garry Marshall,M,Julia Roberts,F
The Garden of Words,2013,Makoto Shinkai,M,Miyu Irino,M
His Girl Friday,1940,Howard Hawks,M,Cary Grant,M
Notorious,1946,Alfred Hitchcock,M,Cary Grant,M
The Kissing Booth 2,2020,Vince Marcello,M,Joey King,F
While You Were Sleeping,1995,Jon Turteltaub,M,Sandra Bullock,F
A Single Man,2009,Tom Ford,M,Colin Firth,M
Burlesque,2010,Steve Antin,M,Cher,F
Brief Encounter,1945,David Lean,M,Celia Johnson,F
5 Centimeters per Second,2007,Makoto Shinkai,M,Kenji Mizuhashi,M
Ocean Waves,1993,Tomomi Mochizuki,M,Nobuo Tobita,M
Blended,2014,Frank Coraci,M,Adam Sandler,M
Ammonite,2020,Francis Lee,M,Kate Winslet,F
Nostalgia,1983,Andrei Tarkovsky,M,Oleg Yankovskiy,M
Bringing Up Baby,1938,Howard Hawks,M,Cary Grant,M
Pearl Harbor,2001,Michael Bay,M,Ben Affleck,M
The Taste of Things,2023,Tran Anh Hung,M,Benoît Magimel,M
Babyteeth,2019,Shannon Murphy,F,Eliza Scanlen,F
"I Love You, Man",2009,John Hamburg,M,Paul Rudd,M
Paper Towns,2015,Jake Schreier,M,Nat Wolff,M
Last Christmas,2019,Paul Feig,M,Emilia Clarke,F
To Catch a Thief,1955,Alfred Hitchcock,M,Cary Grant,M
My Fair Lady,1964,George Cukor,M,Audrey Hepburn,F
The Watermelon Woman,1996,Cheryl Dunye,F,Cheryl Dunye,F
The Doom Generation,1995,Gregg Araki,M,Rose McGowan,F
Match Point,2005,Woody Allen,M,Jonathan Rhys Meyers,M
Eat Pray Love,2010,Ryan Murphy,M,Julia Roberts,F
Shakespeare in Love,1998,John Madden,M,Joseph Fiennes,M
Risky Business,1983,Paul Brickman,M,Tom Cruise,M
A Family Affair,2024,Richard LaGravenese,M,Nicole Kidman,F
He's All That,2021,Mark Waters,M,Addison Rae,F
Sex and the City,2008,Michael Patrick King,M,Sarah Jessica Parker,F
Masculin Féminin,1966,Jean-Luc Godard,M,Jean-Pierre Léaud,M
Sabrina,1954,Billy Wilder,M,Audrey Hepburn,F
Crush,2022,Sammi Cohen,F,Rowan Blanchard,F
La Notte,1961,Michelangelo Antonioni,M,Marcello Mastroianni,M
The Souvenir,2019,Joanna Hogg,F,Honor Swinton Byrne,F
May,2002,Lucky McKee,M,Angela Bettis,F
Once,2007,John Carney,M,Glen Hansard,M
The Green Ray,1986,Éric Rohmer,M,Marie Rivière,F
Millennium Mambo,2001,Hou Hsiao-hsien,M,Shu Qi,F
Tootsie,1982,Sydney Pollack,M,Dustin Hoffman,M
The Philadelphia Story,1940,George Cukor,M,Cary Grant,M
Days of Being Wild,1990,Wong Kar-wai,M,Leslie Cheung,M
Across the Universe,2007,Julie Taymor,F,Evan Rachel Wood,F
Jules and Jim,1962,François Truffaut,M,Jeanne Moreau,F
Bridget Jones: The Edge of Reason,2004,Beeban Kidron,F,Renée Zellweger,F
Beginners,2010,Mike Mills,M,Ewan McGregor,M
20th Century Girl,2022,Bang Woo-ri,M,Kim You-jung,F
What If,2013,Michael Dowse,M,Daniel Radcliffe,M
Never Been Kissed,1999,Raja Gosnell,M,Drew Barrymore,F
Reality Bites,1994,Ben Stiller,M,Winona Ryder,F
Water Lilies,2007,Céline Sciamma,F,Pauline Acquart,F
The Diary of a Teenage Girl,2015,Marielle Heller,F,Bel Powley,F
The Sisterhood of the Traveling Pants,2005,Ken Kwapis,M,Amber Tamblyn,F
Cry-Baby,1990,John Waters,M,Johnny Depp,M
Someone Great,2019,Jennifer Kaytin Robinson,F,Gina Rodriguez,F
