Title,Year,Director,Director_Gender,Actor,Actor_Gender
Wonder Woman,2017,Patty Jenkins,F,Gal Gadot,F
Chungking Express,1994,Wong Kar-wai,M,Takeshi Kaneshiro,M
Fallen Angels,1995,Wong Kar-wai,M,Leon Lai,M
Casablanca,1942,Michael Curtiz,M,Humphrey Bogart,M
Toy Story 4,2019,Josh Cooley,M,Tom Hanks,M
Free Guy,2021,Shawn Levy,M,Ryan Reynolds,M
Smile,2022,Parker Finn,M,Sosie Bacon,F
The Fabelmans,2022,Steven Spielberg,M,Gabriel LaBelle,M
The Green Mile,1999,Frank Darabont,M,Tom Hanks,M
School of Rock,2003,Richard Linklater,M,Jack Black,M
Memories of Murder,2003,Bong Joon-ho,M,Song Kang-ho,M
Grave of the Fireflies,1988,Isao Takahata,M,Tsutomu Tatsumi,M
Ant-Man and the Wasp,2018,Peyton Reed,M,Paul Rudd,M
The Lego Movie,2014,Phil Lord,M,Chris Pratt,M
Top Gun,1986,Tony Scott,M,Tom Cruise,M
Palm Springs,2020,Max Barbakow,M,Andy Samberg,M
Frances Ha,2012,Noah Baumbach,M,Greta Gerwig,F
John Wick: Chapter 2,2017,Chad Stahelski,M,Keanu Reeves,M
Ready Player One,2018,Steven Spielberg,M,Tye Sheridan,M
Good Time,2017,Josh Safdie,M,Robert Pattinson,M
Silver Linings Playbook,2012,David O. Russell,M,Bradley Cooper,M
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,M,Frances McDormand,F
Longlegs,2024,Osgood Perkins,M,Maika Monroe,F
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,Cathy Yan,F,Margot Robbie,F
It Chapter Two,2019,Andy Muschietti,M,Jessica Chastain,F
The Fall Guy,2024,David Leitch,M,Ryan Gosling,M
Citizen Kane,1941,Orson Welles,M,Orson Welles,M
Elemental,2023,Peter Sohn,M,Leah Lewis,F
Thor: The Dark World,2013,Alan Taylor,M,Chris Hemsworth,M
Midnight in Paris,2011,Woody Allen,M,Owen Wilson,M
Zombieland,2009,Ruben Fleischer,M,Jesse Eisenberg,M
Notting Hill,1999,Roger Michell,M,Julia Roberts,F
A Quiet Place Part II,2020,John Krasinski,M,Emily Blunt,F
Rear Window,1954,Alfred Hitchcock,M,James Stewart,M
Akira,1988,Katsuhiro Otomo,M,Mitsuo Iwata,M
mid90s,2018,Jonah Hill,M,Sunny Suljic,M
The Princess Bride,1987,Rob Reiner,M,Cary Elwes,M
Ready or Not,2019,Matt Bettinelli-Olpin,M,Samara Weaving,F
Guillermo del Toro's Pinocchio,2022,Guillermo del Toro,M,Ewan McGregor,M
Ford v Ferrari,2019,James Mangold,M,Matt Damon,M
